Minimum Error At:
AX12 Constant 152
dsPIC Constant 184


Other possible values with error less than 1%
----------------+-----------------+-----------
       AX12     |       dsPIC     |
  Speed   Value |   Speed  Value  |  Error (%)
----------------+-----------------+-----------
   400000    4  |   403046    5   |    0.76
   200000    9  |   201523   11   |    0.76
   142857   13  |   142251   16   |    0.43
   133333   14  |   134348   17   |    0.76
   105263   18  |   105142   22   |    0.11
   100000   19  |   100761   23   |    0.76
    86956   22  |    86367   27   |    0.68
    83333   23  |    83389   28   |    0.07
    80000   24  |    80609   29   |    0.76
    71428   27  |    71125   33   |    0.43
    68965   28  |    69093   34   |    0.19
    66666   29  |    67174   35   |    0.76
    62500   31  |    62007   38   |    0.79
    60606   32  |    60457   39   |    0.25
    58823   33  |    58982   40   |    0.27
    57142   34  |    57578   41   |    0.76
    54054   36  |    53739   44   |    0.59
    52631   37  |    52571   45   |    0.11
    51282   38  |    51452   46   |    0.33
    50000   39  |    50380   47   |    0.76
    48780   40  |    48365   49   |    0.86
    47619   41  |    47417   50   |    0.43
    46511   42  |    46505   51   |    0.01
    45454   43  |    45627   52   |    0.38
    44444   44  |    44782   53   |    0.76
    43478   45  |    43183   55   |    0.68
    42553   46  |    42425   56   |    0.30
    41666   47  |    41694   57   |    0.07
    40816   48  |    40987   58   |    0.42
    40000   49  |    40304   59   |    0.76
    40000   49  |    39643   60   |    0.90
    39215   50  |    39004   61   |    0.54
    38461   51  |    38385   62   |    0.20
    37735   52  |    37785   63   |    0.13
    37037   53  |    37204   64   |    0.45
    36363   54  |    36640   65   |    0.76
    36363   54  |    36093   66   |    0.75
    35714   55  |    35562   67   |    0.43
    35087   56  |    35047   68   |    0.11
    34482   57  |    34546   69   |    0.19
    33898   58  |    34060   70   |    0.48
    33898   58  |    33587   71   |    0.93
    33333   59  |    33587   71   |    0.76
    33333   59  |    33127   72   |    0.62
    32786   60  |    32679   73   |    0.33
    32258   61  |    32243   74   |    0.04
    31746   62  |    31819   75   |    0.23
    31250   63  |    31406   76   |    0.50
    31250   63  |    31003   77   |    0.79
    30769   64  |    31003   77   |    0.76
    30769   64  |    30611   78   |    0.52
    30303   65  |    30228   79   |    0.25
    29850   66  |    29855   80   |    0.02
    29411   67  |    29491   81   |    0.27
    29411   67  |    29135   82   |    0.95
    28985   68  |    29135   82   |    0.52
    28985   68  |    28789   83   |    0.68
    28571   69  |    28789   83   |    0.76
    28571   69  |    28450   84   |    0.43
    28169   70  |    28450   84   |    1.00
    28169   70  |    28119   85   |    0.18
    27777   71  |    27796   86   |    0.07
    27397   72  |    27480   87   |    0.30
    27397   72  |    27171   88   |    0.83
    27027   73  |    27171   88   |    0.54
    27027   73  |    26869   89   |    0.59
    26666   74  |    26869   89   |    0.76
    26666   74  |    26574   90   |    0.35
    26315   75  |    26574   90   |    0.98
    26315   75  |    26285   91   |    0.11
    25974   76  |    26003   92   |    0.11
    25974   76  |    25726   93   |    0.96
    25641   77  |    25726   93   |    0.33
    25641   77  |    25455   94   |    0.73
    25316   78  |    25455   94   |    0.55
    25316   78  |    25190   95   |    0.50
    25000   79  |    25190   95   |    0.76
    25000   79  |    24930   96   |    0.28
    24691   80  |    24930   96   |    0.97
    24691   80  |    24676   97   |    0.06
    24390   81  |    24427   98   |    0.15
    24390   81  |    24182   99   |    0.86
    24096   82  |    24182   99   |    0.36
    24096   82  |    23943  100   |    0.64
    23809   83  |    23943  100   |    0.56
    23809   83  |    23708  101   |    0.43
    23529   84  |    23708  101   |    0.76
    23529   84  |    23478  102   |    0.22
    23255   85  |    23478  102   |    0.96
    23255   85  |    23252  103   |    0.01
    23255   85  |    23031  104   |    0.98
    22988   86  |    23031  104   |    0.19
    22988   86  |    22813  105   |    0.77
    22727   87  |    22813  105   |    0.38
    22727   87  |    22600  106   |    0.56
    22471   88  |    22600  106   |    0.57
    22471   88  |    22391  107   |    0.36
    22222   89  |    22391  107   |    0.76
    22222   89  |    22186  108   |    0.16
    21978   90  |    22186  108   |    0.95
    21978   90  |    21984  109   |    0.03
    21978   90  |    21786  110   |    0.88
    21739   91  |    21786  110   |    0.22
    21739   91  |    21591  111   |    0.68
    21505   92  |    21591  111   |    0.40
    21505   92  |    21400  112   |    0.49
    21276   93  |    21400  112   |    0.58
    21276   93  |    21212  113   |    0.30
    21052   94  |    21212  113   |    0.76
    21052   94  |    21028  114   |    0.11
    20833   95  |    21028  114   |    0.94
    21052   94  |    20847  115   |    0.99
    20833   95  |    20847  115   |    0.07
    20833   95  |    20669  116   |    0.79
    20618   96  |    20669  116   |    0.24
    20618   96  |    20493  117   |    0.61
    20408   97  |    20493  117   |    0.42
    20408   97  |    20321  118   |    0.43
    20202   98  |    20321  118   |    0.59
    20202   98  |    20152  119   |    0.25
    20000   99  |    20152  119   |    0.76
    20000   99  |    19985  120   |    0.07
    19801  100  |    19985  120   |    0.93
    20000   99  |    19821  121   |    0.90
    19801  100  |    19821  121   |    0.10
    19801  100  |    19660  122   |    0.72
    19607  101  |    19660  122   |    0.27
    19607  101  |    19502  123   |    0.54
    19417  102  |    19502  123   |    0.44
    19417  102  |    19346  124   |    0.37
    19230  103  |    19346  124   |    0.60
    19230  103  |    19192  125   |    0.20
    19047  104  |    19192  125   |    0.76
    19230  103  |    19041  126   |    0.99
    19047  104  |    19041  126   |    0.03
    18867  105  |    19041  126   |    0.92
    19047  104  |    18892  127   |    0.82
    18867  105  |    18892  127   |    0.13
    18867  105  |    18746  128   |    0.65
    18691  106  |    18746  128   |    0.29
    18691  106  |    18602  129   |    0.48
    18518  107  |    18602  129   |    0.45
    18518  107  |    18460  130   |    0.32
    18348  108  |    18460  130   |    0.61
    18348  108  |    18320  131   |    0.15
    18181  109  |    18320  131   |    0.76
    18348  108  |    18182  132   |    0.91
    18181  109  |    18182  132   |    0.00
    18018  110  |    18182  132   |    0.91
    18181  109  |    18046  133   |    0.75
    18018  110  |    18046  133   |    0.16
    18018  110  |    17913  134   |    0.59
    17857  111  |    17913  134   |    0.31
    17857  111  |    17781  135   |    0.43
    17699  112  |    17781  135   |    0.47
    17699  112  |    17651  136   |    0.27
    17543  113  |    17651  136   |    0.61
    17543  113  |    17523  137   |    0.11
    17391  114  |    17523  137   |    0.76
    17543  113  |    17397  138   |    0.84
    17391  114  |    17397  138   |    0.04
    17241  115  |    17397  138   |    0.91
    17391  114  |    17273  139   |    0.68
    17241  115  |    17273  139   |    0.19
    17241  115  |    17150  140   |    0.53
    17094  116  |    17150  140   |    0.33
    17094  116  |    17030  141   |    0.38
    16949  117  |    17030  141   |    0.48
    16949  117  |    16911  142   |    0.23
    16806  118  |    16911  142   |    0.62
    16949  117  |    16793  143   |    0.93
    16806  118  |    16793  143   |    0.08
    16666  119  |    16793  143   |    0.76
    16806  118  |    16677  144   |    0.77
    16666  119  |    16677  144   |    0.07
    16528  120  |    16677  144   |    0.90
    16666  119  |    16563  145   |    0.62
    16528  120  |    16563  145   |    0.21
    16528  120  |    16450  146   |    0.47
    16393  121  |    16450  146   |    0.35
    16393  121  |    16339  147   |    0.33
    16260  122  |    16339  147   |    0.49
    16260  122  |    16230  148   |    0.19
    16129  123  |    16230  148   |    0.63
    16260  122  |    16121  149   |    0.86
    16129  123  |    16121  149   |    0.04
    16000  124  |    16121  149   |    0.76
    16129  123  |    16015  150   |    0.71
    16000  124  |    16015  150   |    0.09
    15873  125  |    16015  150   |    0.90
    16000  124  |    15909  151   |    0.57
    15873  125  |    15909  151   |    0.23
    15873  125  |    15805  152   |    0.43
    15748  126  |    15805  152   |    0.37
    15748  126  |    15703  153   |    0.29
